"Addison Road-Seat Pleasant",375140
"Anacostia",252799
"Archives-Navy Memorial-Penn Quarter",125734
"Arlington Cemetery",375143
"Ballston-MU",46090
"Benning Road",108645
"Bethesda",24419
"Braddock Road",255611
"Branch Ave",112222
"Brookland-CUA",428476
"Capitol Heights",4692134
"Capitol South",75175
"Cheverly",180102
"Clarendon",24420
"Cleveland Park",389289
"College Park-U of MD",326087
"Columbia Heights",64770
"Congress Heights",1898730
"Court House",100080
"Crystal City",138406
"Deanwood",1328231
"Dunn Loring-Merrifield",137631
"Dupont Circle",46205
"East Falls Church",46749
"Eastern Market",46088
"Eisenhower Avenue",138156
"Farragut North",103388
"Farragut West",100084
"Federal Center SW",254131
"Federal Triangle",121996
"Foggy Bottom-GWU",63011
"Forest Glen",261705
"Fort Totten",125715
"Franconia-Springfield",646798
"Friendship Heights",115346
"Gallery PI-Chinatown",64016
"Georgia Ave-Petworth",171118
"Glenmont",89362
"Greenbelt",64002
"Grosvenor-Strathmore",489350
"Huntington",104101
"Judiciary Square",4206164
"King Street",155831
"L'Enfant Plaza",171634
"Landover",603653
"Largo Town Center",486253
"McPherson Square",65417
"Medical Center",24323
"Minnesota Ave",1873625
"Morgan Boulevard",454646
"Mt Vernon Sq 7th St-Convention Center",245053
"Navy Yard",2896441
"Naylor Road",2558044
"New Carrollton",397833
"New York Ave-Florida Ave-Gallaudet U",126542
"Pentagon",102194
"Pentagon City",232371
"Potomac Ave",75177
"Prince George's Plaza",562040
"Rhode Island Ave-Brentwood",425930
"Rockville",217952
"Ronald Reagan Washington National Airport",255615
"Rosslyn",206798
"Shady Grove",90119
"Shaw-Howard U",109261
"Silver Spring",51069
"Smithsonian",94823
"Southern Avenue",1234839
"Stadium-Armory",46748
"Suitland",51070
"Takoma",125709
"Tenleytown-AU",360300
"Twinbrook",3133262
"U Street/African-Amer Civil War Memorail/Cardozo",136432
"Union Station",442596
"Van Dorn Street",139033
"Van Ness-UDC",86288
"Vienna/Fairfax-GMU",103452
"Waterfront-SEU",89613
"West Falls Church-VT/UVA",326044
"West Hyattsville",1214085
"Wheaton",243365
"White Flint",110504
"Woodley Park-Zoo/Adams Morgan",246399
